record_id,fs_original,fs_target,signal_len_original,signal_len_target,n_annotations,n_target_classes,output_file
100,360.0,125,650000,225694,2274,2274,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\100_annotations_125hz.csv
101,360.0,125,650000,225694,1874,1864,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\101_annotations_125hz.csv
102,360.0,125,650000,225694,2192,2136,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\102_annotations_125hz.csv
103,360.0,125,650000,225694,2091,2085,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\103_annotations_125hz.csv
104,360.0,125,650000,225694,2311,1590,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\104_annotations_125hz.csv
105,360.0,125,650000,225694,2691,2568,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\105_annotations_125hz.csv
106,360.0,125,650000,225694,2098,2068,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\106_annotations_125hz.csv
107,360.0,125,650000,225694,2140,2138,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\107_annotations_125hz.csv
108,360.0,125,650000,225694,1824,1763,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\108_annotations_125hz.csv
109,360.0,125,650000,225694,2535,2533,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\109_annotations_125hz.csv
111,360.0,125,650000,225694,2133,2125,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\111_annotations_125hz.csv
112,360.0,125,650000,225694,2550,2540,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\112_annotations_125hz.csv
113,360.0,125,650000,225694,1796,1790,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\113_annotations_125hz.csv
114,360.0,125,650000,225694,1890,1880,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\114_annotations_125hz.csv
115,360.0,125,650000,225694,1962,1954,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\115_annotations_125hz.csv
116,360.0,125,650000,225694,2421,2413,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\116_annotations_125hz.csv
117,360.0,125,650000,225694,1539,1536,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\117_annotations_125hz.csv
118,360.0,125,650000,225694,2301,2279,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\118_annotations_125hz.csv
119,360.0,125,650000,225694,2094,2090,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\119_annotations_125hz.csv
121,360.0,125,650000,225694,1876,1864,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\121_annotations_125hz.csv
122,360.0,125,650000,225694,2479,2477,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\122_annotations_125hz.csv
123,360.0,125,650000,225694,1519,1519,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\123_annotations_125hz.csv
124,360.0,125,650000,225694,1634,1598,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\124_annotations_125hz.csv
200,360.0,125,650000,225694,2792,2749,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\200_annotations_125hz.csv
201,360.0,125,650000,225694,2039,1890,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\201_annotations_125hz.csv
202,360.0,125,650000,225694,2146,2125,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\202_annotations_125hz.csv
203,360.0,125,650000,225694,3108,3019,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\203_annotations_125hz.csv
205,360.0,125,650000,225694,2672,2669,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\205_annotations_125hz.csv
207,360.0,125,650000,225694,2385,1779,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\207_annotations_125hz.csv
208,360.0,125,650000,225694,3040,3004,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\208_annotations_125hz.csv
209,360.0,125,650000,225694,3052,3026,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\209_annotations_125hz.csv
210,360.0,125,650000,225694,2685,2644,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\210_annotations_125hz.csv
212,360.0,125,650000,225694,2763,2749,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\212_annotations_125hz.csv
213,360.0,125,650000,225694,3294,3291,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\213_annotations_125hz.csv
214,360.0,125,650000,225694,2297,2285,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\214_annotations_125hz.csv
215,360.0,125,650000,225694,3400,3368,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\215_annotations_125hz.csv
217,360.0,125,650000,225694,2280,2015,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\217_annotations_125hz.csv
219,360.0,125,650000,225694,2312,2175,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\219_annotations_125hz.csv
220,360.0,125,650000,225694,2069,2065,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\220_annotations_125hz.csv
221,360.0,125,650000,225694,2462,2450,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\221_annotations_125hz.csv
222,360.0,125,650000,225694,2634,2406,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\222_annotations_125hz.csv
223,360.0,125,650000,225694,2643,2616,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\223_annotations_125hz.csv
228,360.0,125,650000,225694,2141,2094,C:\repos\ecg-dataset-single-lead\mit-bih\annotations\228_annotations_125hz.csv
